id,market,base,quote,granularity,start,o,h,l,c,v
2885,1,2,1,DAILY,"2022-12-12 00:00:00",17212.900000000000000000000000000000,17999.990000000000000000000000000000,17089.170000000000000000000000000000,17773.180000000000000000000000000000,38316.031724670000000000000000000000
2886,1,2,1,DAILY,"2022-12-11 00:00:00",17085.620000000000000000000000000000,17244.630000000000000000000000000000,16875.830000000000000000000000000000,17211.660000000000000000000000000000,20659.657092270000000000000000000000
2887,1,2,1,DAILY,"2022-12-10 00:00:00",17128.100000000000000000000000000000,17271.920000000000000000000000000000,17073.190000000000000000000000000000,17085.210000000000000000000000000000,9948.852670320000000000000000000000
2888,1,2,1,DAILY,"2022-12-09 00:00:00",17130.490000000000000000000000000000,17227.640000000000000000000000000000,17093.420000000000000000000000000000,17128.100000000000000000000000000000,7860.586875750000000000000000000000
2889,1,2,1,DAILY,"2022-12-08 00:00:00",17226.030000000000000000000000000000,17352.620000000000000000000000000000,17060.690000000000000000000000000000,17130.590000000000000000000000000000,20976.636998640000000000000000000000
2890,1,2,1,DAILY,"2022-12-07 00:00:00",16839.760000000000000000000000000000,17300.590000000000000000000000000000,16738.000000000000000000000000000000,17226.010000000000000000000000000000,23533.234537430000000000000000000000
2891,1,2,1,DAILY,"2022-12-06 00:00:00",17089.180000000000000000000000000000,17140.220000000000000000000000000000,16679.520000000000000000000000000000,16840.000000000000000000000000000000,22635.468487930000000000000000000000
2892,1,2,1,DAILY,"2022-12-05 00:00:00",16966.050000000000000000000000000000,17111.350000000000000000000000000000,16904.040000000000000000000000000000,17089.050000000000000000000000000000,26693.610117100000000000000000000000
2893,1,2,1,DAILY,"2022-12-04 00:00:00",17108.900000000000000000000000000000,17424.590000000000000000000000000000,16865.220000000000000000000000000000,16966.050000000000000000000000000000,33618.451090260000000000000000000000
2894,1,2,1,DAILY,"2022-12-03 00:00:00",16889.170000000000000000000000000000,17199.990000000000000000000000000000,16882.860000000000000000000000000000,17108.900000000000000000000000000000,16961.108288390000000000000000000000
2895,1,2,1,DAILY,"2022-12-02 00:00:00",17094.250000000000000000000000000000,17158.420000000000000000000000000000,16863.580000000000000000000000000000,16888.530000000000000000000000000000,14081.450671600000000000000000000000
2896,1,2,1,DAILY,"2022-12-01 00:00:00",16980.070000000000000000000000000000,17108.250000000000000000000000000000,16791.020000000000000000000000000000,17094.710000000000000000000000000000,23096.436867250000000000000000000000
2897,1,2,1,DAILY,"2022-11-30 00:00:00",17165.440000000000000000000000000000,17317.800000000000000000000000000000,16855.000000000000000000000000000000,16980.080000000000000000000000000000,31798.991518280000000000000000000000
2898,1,2,1,DAILY,"2022-11-29 00:00:00",16437.940000000000000000000000000000,17259.370000000000000000000000000000,16423.370000000000000000000000000000,17167.330000000000000000000000000000,42517.611722850000000000000000000000
2899,1,2,1,DAILY,"2022-11-28 00:00:00",16206.230000000000000000000000000000,16541.720000000000000000000000000000,16092.530000000000000000000000000000,16438.000000000000000000000000000000,21901.984788100000000000000000000000
2900,1,2,1,DAILY,"2022-11-27 00:00:00",16421.630000000000000000000000000000,16478.320000000000000000000000000000,15992.640000000000000000000000000000,16206.300000000000000000000000000000,30336.247566670000000000000000000000
2901,1,2,1,DAILY,"2022-11-26 00:00:00",16450.320000000000000000000000000000,16589.430000000000000000000000000000,16395.000000000000000000000000000000,16419.880000000000000000000000000000,10825.695253210000000000000000000000
2902,1,2,1,DAILY,"2022-11-25 00:00:00",16510.900000000000000000000000000000,16693.180000000000000000000000000000,16376.100000000000000000000000000000,16450.930000000000000000000000000000,12308.570707130000000000000000000000
2903,1,2,1,DAILY,"2022-11-24 00:00:00",16587.600000000000000000000000000000,16610.080000000000000000000000000000,16333.000000000000000000000000000000,16510.900000000000000000000000000000,20800.911573170000000000000000000000
2904,1,2,1,DAILY,"2022-11-23 00:00:00",16585.830000000000000000000000000000,16797.280000000000000000000000000000,16450.620000000000000000000000000000,16587.610000000000000000000000000000,21819.504973440000000000000000000000
2905,1,2,1,DAILY,"2022-11-22 00:00:00",16201.150000000000000000000000000000,16700.000000000000000000000000000000,16142.990000000000000000000000000000,16587.000000000000000000000000000000,37143.066093960000000000000000000000
2906,1,2,1,DAILY,"2022-11-21 00:00:00",15758.960000000000000000000000000000,16294.500000000000000000000000000000,15596.220000000000000000000000000000,16199.710000000000000000000000000000,44555.906901950000000000000000000000
2907,1,2,1,DAILY,"2022-11-20 00:00:00",16252.430000000000000000000000000000,16279.990000000000000000000000000000,15460.000000000000000000000000000000,15760.140000000000000000000000000000,43799.918033330000000000000000000000
2908,1,2,1,DAILY,"2022-11-19 00:00:00",16680.700000000000000000000000000000,16733.190000000000000000000000000000,16154.650000000000000000000000000000,16252.530000000000000000000000000000,16685.190960400000000000000000000000
2909,1,2,1,DAILY,"2022-11-18 00:00:00",16678.850000000000000000000000000000,16802.000000000000000000000000000000,16534.830000000000000000000000000000,16683.020000000000000000000000000000,9396.047700970000000000000000000000
2910,1,2,1,DAILY,"2022-11-17 00:00:00",16680.470000000000000000000000000000,16984.080000000000000000000000000000,16526.280000000000000000000000000000,16680.590000000000000000000000000000,26970.344057490000000000000000000000
2911,1,2,1,DAILY,"2022-11-16 00:00:00",16646.580000000000000000000000000000,16736.700000000000000000000000000000,16396.000000000000000000000000000000,16680.470000000000000000000000000000,22484.775074360000000000000000000000
2912,1,2,1,DAILY,"2022-11-15 00:00:00",16879.370000000000000000000000000000,16994.310000000000000000000000000000,16358.660000000000000000000000000000,16645.240000000000000000000000000000,37249.704145220000000000000000000000
2913,1,2,1,DAILY,"2022-11-14 00:00:00",16588.410000000000000000000000000000,17107.880000000000000000000000000000,16502.850000000000000000000000000000,16877.930000000000000000000000000000,48155.320535430000000000000000000000
2914,1,2,1,DAILY,"2022-11-13 00:00:00",16298.750000000000000000000000000000,17169.680000000000000000000000000000,15790.250000000000000000000000000000,16590.730000000000000000000000000000,55601.934699770000000000000000000000
2915,1,2,1,DAILY,"2022-11-12 00:00:00",16783.320000000000000000000000000000,16926.570000000000000000000000000000,16214.950000000000000000000000000000,16301.390000000000000000000000000000,23266.697347430000000000000000000000
2916,1,2,1,DAILY,"2022-11-11 00:00:00",17014.780000000000000000000000000000,17067.700000000000000000000000000000,16595.250000000000000000000000000000,16783.330000000000000000000000000000,23830.057857600000000000000000000000
2917,1,2,1,DAILY,"2022-11-10 00:00:00",17555.440000000000000000000000000000,17641.320000000000000000000000000000,16336.050000000000000000000000000000,17013.620000000000000000000000000000,64776.654793400000000000000000000000
2918,1,2,1,DAILY,"2022-11-09 00:00:00",15894.770000000000000000000000000000,18140.620000000000000000000000000000,15720.000000000000000000000000000000,17553.890000000000000000000000000000,91496.985480590000000000000000000000
2919,1,2,1,DAILY,"2022-11-08 00:00:00",18546.070000000000000000000000000000,18590.340000000000000000000000000000,15512.000000000000000000000000000000,15891.960000000000000000000000000000,119633.961940810000000000000000000000
2920,1,2,1,DAILY,"2022-11-07 00:00:00",20593.340000000000000000000000000000,20675.000000000000000000000000000000,17500.000000000000000000000000000000,18550.250000000000000000000000000000,84056.630827240000000000000000000000
2921,1,2,1,DAILY,"2022-11-06 00:00:00",20908.150000000000000000000000000000,21069.460000000000000000000000000000,20394.340000000000000000000000000000,20593.490000000000000000000000000000,25279.829169360000000000000000000000
2922,1,2,1,DAILY,"2022-11-05 00:00:00",21300.450000000000000000000000000000,21365.890000000000000000000000000000,20886.260000000000000000000000000000,20909.170000000000000000000000000000,10958.493263600000000000000000000000
2923,1,2,1,DAILY,"2022-11-04 00:00:00",21149.030000000000000000000000000000,21478.800000000000000000000000000000,21082.540000000000000000000000000000,21300.450000000000000000000000000000,14076.704878280000000000000000000000
2924,1,2,1,DAILY,"2022-11-03 00:00:00",20208.020000000000000000000000000000,21298.760000000000000000000000000000,20181.610000000000000000000000000000,21144.200000000000000000000000000000,42027.162812950000000000000000000000
2925,1,2,1,DAILY,"2022-11-02 00:00:00",20151.290000000000000000000000000000,20390.820000000000000000000000000000,20032.020000000000000000000000000000,20206.880000000000000000000000000000,26837.372111560000000000000000000000
2926,1,2,1,DAILY,"2022-11-01 00:00:00",20480.340000000000000000000000000000,20805.000000000000000000000000000000,20059.530000000000000000000000000000,20151.400000000000000000000000000000,43913.219041860000000000000000000000
2927,1,2,1,DAILY,"2022-10-31 00:00:00",20489.550000000000000000000000000000,20691.000000000000000000000000000000,20326.550000000000000000000000000000,20479.630000000000000000000000000000,21147.008545920000000000000000000000
2928,1,2,1,DAILY,"2022-10-30 00:00:00",20629.210000000000000000000000000000,20837.680000000000000000000000000000,20237.000000000000000000000000000000,20489.940000000000000000000000000000,22222.736115670000000000000000000000
2929,1,2,1,DAILY,"2022-10-29 00:00:00",20822.380000000000000000000000000000,20939.350000000000000000000000000000,20523.920000000000000000000000000000,20630.680000000000000000000000000000,13737.388483620000000000000000000000
